id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
2598,ENST,medium_airport,"SandnessjÃ¸en Airport, Stokka",65.956802,12.4689,56,EU,NO,NO-18,Alstahaug,yes,ENST,SSJ,
2599,ENTC,large_airport,"TromsÃ¸ Airport, Langnes",69.683296,18.9189,31,EU,NO,NO-54,TromsÃ¸,yes,ENTC,TOS,
2600,ENTO,medium_airport,"Sandefjord Airport, Torp",59.18669891,10.25860024,286,EU,NO,NO-38,Torp,yes,ENTO,TRF,
2601,ENVA,large_airport,"Trondheim Airport, VÃ¦rnes",63.457802,10.924,56,EU,NO,NO-50,Trondheim,yes,ENVA,TRD,
29284,ENVD,medium_airport,VadsÃ¸ Airport,70.06529999,29.84469986,127,EU,NO,NO-54,VadsÃ¸,yes,ENVD,VDS,
336112,ENY,medium_airport,Yan'an Nanniwan Airport,36.479413,109.464083,,AS,CN,CN-61,Yan'an (Baota),yes,ZLYA,ENY,ENY
2602,ENZV,large_airport,"Stavanger Airport, Sola",58.876701,5.63778,29,EU,NO,NO-11,Stavanger,yes,ENZV,SVG,
2604,EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,53.096802,17.977699,235,EU,PL,PL-KP,Bydgoszcz,yes,EPBY,BZG,
2608,EPGD,large_airport,GdaÅ„sk Lech WaÅ‚Ä™sa Airport,54.37760162,18.46619987,489,EU,PL,PL-PM,GdaÅ„sk,yes,EPGD,GDN,
2609,EPKK,large_airport,KrakÃ³w John Paul II International Airport,50.077702,19.7848,791,EU,PL,PL-MA,KrakÃ³w,yes,EPKK,KRK,
2613,EPKT,medium_airport,Katowice International Airport,50.4743,19.08,995,EU,PL,PL-SL,Katowice,yes,EPKT,KTW,
309484,EPLB,medium_airport,Lublin Airport,51.240278,22.713611,633,EU,PL,PL-LU,Lublin,yes,EPLB,LUZ,
2616,EPLL,medium_airport,ÅÃ³dÅº WÅ‚adysÅ‚aw Reymont Airport,51.72190094,19.3980999,604,EU,PL,PL-LD,ÅÃ³dÅº,yes,EPLL,LCJ,
2622,EPMO,medium_airport,Modlin Airport,52.451099,20.6518,341,EU,PL,PL-MZ,Warsaw,yes,EPMO,WMI,
2625,EPPO,medium_airport,PoznaÅ„-Åawica Airport,52.421001,16.8263,308,EU,PL,PL-WP,PoznaÅ„,yes,EPPO,POZ,
2628,EPRA,medium_airport,Radom Airport,51.389198,21.213301,610,EU,PL,PL-MZ,Radom,yes,EPRA,RDO,
2629,EPRZ,medium_airport,RzeszÃ³w-Jasionka Airport,50.110001,22.018999,693,EU,PL,PL-PK,RzeszÃ³w,yes,EPRZ,RZE,
2630,EPSC,medium_airport,"Szczecin-GoleniÃ³w ""SolidarnoÅ›Ä‡"" Airport",53.584702,14.9022,154,EU,PL,PL-ZP,Goleniow,yes,EPSC,SZZ,
2635,EPSY,medium_airport,Olsztyn-Mazury Airport,53.481899,20.9377,463,EU,PL,PL-WN,Olsztyn,yes,EPSY,SZY,
2637,EPWA,large_airport,Warsaw Chopin Airport,52.16569901,20.96710014,362,EU,PL,PL-MZ,Warsaw,yes,EPWA,WAW,
2638,EPWR,medium_airport,Copernicus WrocÅ‚aw Airport,51.102699,16.885799,404,EU,PL,PL-DS,WrocÅ‚aw,yes,EPWR,WRO,
2639,EPZG,medium_airport,Zielona GÃ³ra-Babimost Airport,52.13850021,15.7986002,194,EU,PL,PL-LB,Babimost,yes,EPZG,IEG,
2646,ESDF,medium_airport,Ronneby Airport,56.266701,15.265,191,EU,SE,SE-K,Ronneby,yes,ESDF,RNB,
2648,ESGG,large_airport,Gothenburg-Landvetter Airport,57.66279984,12.27980042,506,EU,SE,SE-Q,Gothenburg,yes,ESGG,GOT,
2649,ESGJ,medium_airport,JÃ¶nkÃ¶ping Airport,57.75759888,14.06869984,741,EU,SE,SE-F,JÃ¶nkÃ¶ping,yes,ESGJ,JKG,
2654,ESGT,medium_airport,TrollhÃ¤ttan-VÃ¤nersborg Airport,58.31809998,12.34500027,137,EU,SE,SE-Q,TrollhÃ¤ttan,yes,ESGT,THN,
